City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Jumla,NP,29.2747,82.1838,73.96,32,5,7.9,clear sky
313,Emba,KZ,48.8264,58.1442,84.63,22,53,11.63,broken clouds
314,San Bartolome De Tirajana,ES,27.9248,-15.5733,61.32,80,20,14.58,few clouds
315,Srandakan,ID,-7.9386,110.2506,84.31,71,66,13.18,broken clouds
316,Flinders,AU,-34.5833,150.8552,65.48,73,0,0.89,clear sky
317,Ilulissat,GL,69.2167,-51.1,27.46,90,100,9.75,overcast clouds
318,Antofagasta,CL,-23.65,-70.4,58.28,60,4,10.0,clear sky
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.57,90,100,3.13,overcast clouds
320,Alice Springs,AU,-23.7,133.8833,76.55,21,0,11.99,clear sky
321,Zatoka,UA,46.0725,30.4654,66.74,66,0,7.92,clear sky
322,Lavrentiya,RU,65.5833,-171.0,31.93,95,61,2.55,broken clouds
323,Bouza,NE,14.4229,6.0428,89.49,32,0,8.97,clear sky
324,Bose,IT,45.4612,8.0137,57.22,81,97,2.33,overcast clouds
325,Tabira,BR,-7.5908,-37.5394,65.64,97,54,5.82,broken clouds
326,Lewisporte,CA,49.2499,-55.0482,55.11,53,100,12.3,overcast clouds
327,Waipawa,NZ,-41.4122,175.5153,51.03,69,100,7.96,overcast clouds
328,Clyde River,CA,70.4692,-68.5914,3.43,92,1,4.61,clear sky
329,Pringsewu,ID,-5.3582,104.9744,86.76,67,67,1.52,broken clouds
330,Saint George,US,37.1041,-113.5841,53.8,28,1,1.99,clear sky
331,Songjianghe,CN,42.1859,127.479,78.8,27,91,4.94,light rain
332,Solnechnyy,RU,50.7214,136.6319,76.6,49,100,5.1,overcast clouds
333,Zhezkazgan,KZ,47.8043,67.7144,78.15,25,0,11.21,clear sky
334,La Ronge,CA,55.1001,-105.2842,37.65,56,40,2.3,scattered clouds
335,Batticaloa,LK,7.7102,81.6924,87.93,63,100,4.54,overcast clouds
336,Chapleau,CA,47.8405,-83.4034,62.24,96,100,7.65,overcast clouds
337,Llanes,ES,43.4198,-4.7549,55.87,77,100,12.77,overcast clouds
338,Akyab,MM,20.15,92.9,89.85,62,19,13.24,few clouds
339,Rakaia,NZ,-43.75,172.0167,47.8,92,0,6.31,clear sky
340,Limerick,IE,52.6647,-8.6231,44.55,76,100,6.04,overcast clouds
341,Nuuk,GL,64.1835,-51.7216,30.16,68,100,10.09,overcast clouds
342,Rocha,UY,-34.4833,-54.3333,57.33,96,100,21.09,moderate rain
343,Zalantun,CN,48.0,122.7167,93.27,15,90,20.65,overcast clouds
