City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Boda,CF,75.78,overcast clouds,4.3189,17.4695,
530,Conceicao Do Araguaia,BR,75.33,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
531,Bawku,GH,83.73,overcast clouds,11.0616,-0.2417,Ultimate Guest House
538,Kandrian,PG,81.86,light rain,-6.2167,149.55,Kandrian Station
540,Luwuk,ID,83.46,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
543,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
544,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
546,Buala,SB,81.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
550,Huilong,CN,80.04,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
551,Chumphon,TH,82.51,light rain,10.3333,98.8333,สกาน จ๋า.
555,Dumai,ID,87.84,overcast clouds,1.6833,101.45,Grand Zuri Dumai
561,Loiza,PR,79.86,overcast clouds,18.4313,-65.8802,Malibu Beachfront
562,Kankan,GN,75.04,overcast clouds,10.3854,-9.3057,Hotel Bate
565,Quetta,PK,81.07,clear sky,30.199,67.0097,Hotel Deluxe
568,Abnub,EG,75.42,clear sky,27.2696,31.1511,Romany Adly Gad
569,Bikin,RU,82.87,overcast clouds,46.8161,134.26,Azhur
571,Xuddur,SO,83.19,clear sky,4.1213,43.8894,Banjanay Hotel
573,Lethem,GY,75.09,overcast clouds,3.3803,-59.7968,Savannah Inn
576,Xichang,CN,87.49,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
581,Garowe,SO,85.84,overcast clouds,8.4054,48.4845,Curubo Hotel
585,Garissa,KE,85.3,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
589,Sumbe,AO,78.19,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
590,Qiryat Shemona,IL,75.61,clear sky,33.2073,35.5721,"אכסניית אנ""א תל חי HI Tel Hai Hostel"
591,Yanam,IN,90.0,overcast clouds,16.7333,82.2167,The Regency Hotel
596,San Policarpo,PH,84.38,clear sky,12.1791,125.5072,JM Lodge
598,Tiznit,MA,86.11,overcast clouds,29.5833,-9.5,
602,Axim,GH,80.01,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
617,Takoradi,GH,78.91,overcast clouds,4.8845,-1.7554,Raybow International Hotel
619,Abha,SA,80.42,clear sky,18.2164,42.5053,Abha Hotel
621,Shadrinsk,RU,79.25,broken clouds,56.0852,63.6335,Ural
624,Tura,IN,84.18,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
626,Muravlenko,RU,81.45,few clouds,63.7898,74.523,Hostel Rus Muravlenko
629,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
640,Sinjai,ID,84.65,clear sky,-5.1241,120.253,Wisma Sandika
643,Faya,SA,80.71,clear sky,18.3851,42.4509,مقبرة ال مجمل
647,Dewas,IN,86.18,broken clouds,22.9667,76.0667,OYO 71164 Hotel Suryaansh
648,Kommunisticheskiy,RU,77.34,few clouds,61.6789,64.4819,
654,Linqiong,CN,81.79,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
656,Uttarkashi,IN,84.47,overcast clouds,30.7333,78.45,Anand Ganga
661,Salinopolis,BR,79.03,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
662,Paredon,MX,83.43,clear sky,16.0333,-93.8667,Hotel Principal Paredon
666,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
667,Noumea,NC,75.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
671,Takestan,IR,87.93,overcast clouds,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
675,Dennery,LC,79.74,overcast clouds,13.8996,-60.8879,The Fox Grove Inn
679,Ust-Ishim,RU,83.35,few clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
